Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,48,37,85,Mawhtike(ST),MMR015023
 Rural,2211,1907,4118,Mawhtike(ST),MMR015023
 Total,2259,1944,4203,Mawhtike(ST),MMR015023
