Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,273,14364,14637,Yankin,MMR013010
 Total,273,14364,14637,Yankin,MMR013010
