Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,41942,11105,53047,Chanmyatharzi,MMR010004
 Total,41942,11105,53047,Chanmyatharzi,MMR010004
