Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,7,6556,6563,Pabedan,MMR013034
 Total,7,6556,6563,Pabedan,MMR013034
