Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6059,2432,8491,Kyaukse,MMR010013
 Rural,27551,21723,49274,Kyaukse,MMR010013
 Total,33610,24155,57765,Kyaukse,MMR010013
