Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2475,3574,6049,Myanaung,MMR017011
 Rural,16433,37438,53871,Myanaung,MMR017011
 Total,18908,41012,59920,Myanaung,MMR017011
