Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,798,360,1158,Kunlon,MMR015020
 Rural,5974,3260,9234,Kunlon,MMR015020
 Total,6772,3620,10392,Kunlon,MMR015020
