Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2889,1647,4536,Hopon,MMR014003
 Rural,11440,8752,20192,Hopon,MMR014003
 Total,14329,10399,24728,Hopon,MMR014003
