Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2123,3777,5900,Nyaungdon,MMR017021
 Rural,10111,35190,45301,Nyaungdon,MMR017021
 Total,12234,38967,51201,Nyaungdon,MMR017021
