Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1951,1306,3257,Namtu,MMR015015
 Rural,5217,3167,8384,Namtu,MMR015015
 Total,7168,4473,11641,Namtu,MMR015015
