Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1692,5511,7203,Labutta,MMR017016
 Rural,2595,45348,47943,Labutta,MMR017016
 Total,4287,50859,55146,Labutta,MMR017016
