Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1999,1060,3059,Nyaungshwe,MMR014002
 Rural,15053,24522,39575,Nyaungshwe,MMR014002
 Total,17052,25582,42634,Nyaungshwe,MMR014002
