Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6806,12100,18906,Sittway,MMR012001
 Rural,1356,8774,10130,Sittway,MMR012001
 Total,8162,20874,29036,Sittway,MMR012001
