Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2095,758,2853,Loilem,MMR014011
 Rural,5592,2456,8048,Loilem,MMR014011
 Total,7687,3214,10901,Loilem,MMR014011
