Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Rural,6448,2837,9285,Mine Pauk(ST),MMR016003
 Total,6448,2837,9285,Mine Pauk(ST),MMR016003
