Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,7580,12249,19829,Hinthada,MMR017008
 Rural,16271,50029,66300,Hinthada,MMR017008
 Total,23851,62278,86129,Hinthada,MMR017008
