Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,723,432,1155,Ywarngan,MMR014007
 Rural,7697,9496,17193,Ywarngan,MMR014007
 Total,8420,9928,18348,Ywarngan,MMR014007
