Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,5453,4795,10248,Pobbathiri,MMR018005
 Rural,6740,10628,17368,Pobbathiri,MMR018005
 Total,12193,15423,27616,Pobbathiri,MMR018005
