Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1522,561,2083,Mineshu,MMR014017
 Rural,4876,2242,7118,Mineshu,MMR014017
 Total,6398,2803,9201,Mineshu,MMR014017
