Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,3587,1254,4841,Nanhsam(South),MMR014013
 Rural,10166,3856,14022,Nanhsam(South),MMR014013
 Total,13753,5110,18863,Nanhsam(South),MMR014013
