Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1556,37251,38807,Mayangon,MMR013042
 Total,1556,37251,38807,Mayangon,MMR013042
