Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,446,156,602,Kyauktalongyi(ST),MMR014001
 Rural,7574,4089,11663,Kyauktalongyi(ST),MMR014001
 Total,8020,4245,12265,Kyauktalongyi(ST),MMR014001
