Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2602,6595,9197,Twantay,MMR013027
 Rural,7683,34722,42405,Twantay,MMR013027
 Total,10285,41317,51602,Twantay,MMR013027
