Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,204,25714,25918,Mingala Taungnyunt,MMR013022
 Total,204,25714,25918,Mingala Taungnyunt,MMR013022
