Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,325,144,469,Panwine,MMR015007
 Rural,5745,7755,13500,Panwine,MMR015007
 Total,6070,7899,13969,Panwine,MMR015007
