Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,781,1893,2674,Kangyidaunt,MMR017002
 Rural,6694,33598,40292,Kangyidaunt,MMR017002
 Total,7475,35491,42966,Kangyidaunt,MMR017002
