Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1213,256,1469,Monekoe(ST),MMR015009
 Rural,1781,1108,2889,Monekoe(ST),MMR015009
 Total,2994,1364,4358,Monekoe(ST),MMR015009
