Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,245,588,833,Ngayokaung(ST),MMR017004
 Rural,1808,7560,9368,Ngayokaung(ST),MMR017004
 Total,2053,8148,10201,Ngayokaung(ST),MMR017004
