Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,825,294,1119,Minetung,MMR016008
 Rural,1814,1325,3139,Minetung,MMR016008
 Total,2639,1619,4258,Minetung,MMR016008
