Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1258,31467,32725,South Okkalapa,MMR013011
 Total,1258,31467,32725,South Okkalapa,MMR013011
