Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1834,936,2770,Pinlaung,MMR014009
 Rural,14952,7782,22734,Pinlaung,MMR014009
 Total,16786,8718,25504,Pinlaung,MMR014009
