Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,3044,2283,5327,Yame`thin,MMR010023
 Rural,21939,29993,51932,Yame`thin,MMR010023
 Total,24983,32276,57259,Yame`thin,MMR010023
