Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,779,1535,2314,Maungtaw,MMR012009
 Rural,693,4383,5076,Maungtaw,MMR012009
 Total,1472,5918,7390,Maungtaw,MMR012009
