Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1135,2704,3839,Kyauktaw,MMR012004
 Rural,1988,30668,32656,Kyauktaw,MMR012004
 Total,3123,33372,36495,Kyauktaw,MMR012004
