Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1452,2840,4292,Pantanaw,MMR017020
 Rural,11533,44452,55985,Pantanaw,MMR017020
 Total,12985,47292,60277,Pantanaw,MMR017020
