Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,5605,527,6132,Namkham,MMR015010
 Rural,10742,4543,15285,Namkham,MMR015010
 Total,16347,5070,21417,Namkham,MMR015010
