Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1874,968,2842,Natogyi,MMR010019
 Rural,20524,17599,38123,Natogyi,MMR010019
 Total,22398,18567,40965,Natogyi,MMR010019
