Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,11188,7709,18897,Myingyan,MMR010017
 Rural,23027,20416,43443,Myingyan,MMR010017
 Total,34215,28125,62340,Myingyan,MMR010017
