Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,324,446,770,Laymyethna,MMR017010
 Rural,5563,19911,25474,Laymyethna,MMR017010
 Total,5887,20357,26244,Laymyethna,MMR017010
