Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,688,1802,2490,Tada(ST),MMR013024
 Rural,1950,5053,7003,Tada(ST),MMR013024
 Total,2638,6855,9493,Tada(ST),MMR013024
