Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,571,1491,2062,Buthidaung,MMR012010
 Rural,518,8684,9202,Buthidaung,MMR012010
 Total,1089,10175,11264,Buthidaung,MMR012010
