Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,822,2727,3549,Hainggyikyun(ST),MMR017004
 Rural,4240,21286,25526,Hainggyikyun(ST),MMR017004
 Total,5062,24013,29075,Hainggyikyun(ST),MMR017004
