Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,406,1069,1475,Kyeintali(ST),MMR012017
 Rural,1048,3558,4606,Kyeintali(ST),MMR012017
 Total,1454,4627,6081,Kyeintali(ST),MMR012017
