Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,146,48,194,Kongyan,MMR015023
 Rural,2365,2903,5268,Kongyan,MMR015023
 Total,2511,2951,5462,Kongyan,MMR015023
