Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,33320,6348,39668,Myitkyina,MMR001001
 Rural,6508,4407,10915,Myitkyina,MMR001001
 Total,39828,10755,50583,Myitkyina,MMR001001
 Urban,2982,838,3820,Waingmaw,MMR001002
 Rural,9578,6382,15960,Waingmaw,MMR001002
 Total,12560,7220,19780,Waingmaw,MMR001002
 Urban,36,42,78,Ingyanyan,MMR001003
 Rural,69,138,207,Ingyanyan,MMR001003
 Total,105,180,285,Ingyanyan,MMR001003
 Urban,2480,1214,3694,Tanaing,MMR001004
 Rural,1749,955,2704,Tanaing,MMR001004
 Total,4229,2169,6398,Tanaing,MMR001004
 Urban,148,181,329,Chiphwe,MMR001005
 Rural,907,695,1602,Chiphwe,MMR001005
 Total,1055,876,1931,Chiphwe,MMR001005
 Urban,47,19,66,Hsotlaw,MMR001006
 Rural,447,560,1007,Hsotlaw,MMR001006
 Total,494,579,1073,Hsotlaw,MMR001006
 Urban,407,297,704,Hsinbo(ST),MMR001001
 Rural,480,824,1304,Hsinbo(ST),MMR001001
 Total,887,1121,2008,Hsinbo(ST),MMR001001
 Urban,301,209,510,Hsadone(ST),MMR001002
 Rural,722,378,1100,Hsadone(ST),MMR001002
 Total,1023,587,1610,Hsadone(ST),MMR001002
 Urban,96,78,174,Kanpaikti(ST),MMR001002
 Rural,735,561,1296,Kanpaikti(ST),MMR001002
 Total,831,639,1470,Kanpaikti(ST),MMR001002
 Urban,678,347,1025,Shinbwayyan(ST),MMR001004
 Rural,402,703,1105,Shinbwayyan(ST),MMR001004
 Total,1080,1050,2130,Shinbwayyan(ST),MMR001004
 Urban,92,104,196,Panwa(ST),MMR001005
 Rural,590,589,1179,Panwa(ST),MMR001005
 Total,682,693,1375,Panwa(ST),MMR001005
 Urban,5129,1224,6353,Mohnyin,MMR001007
 Rural,16778,7059,23837,Mohnyin,MMR001007
 Total,21907,8283,30190,Mohnyin,MMR001007
 Urban,3338,1110,4448,Mogaung,MMR001008
 Rural,13654,6796,20450,Mogaung,MMR001008
 Total,16992,7906,24898,Mogaung,MMR001008
 Urban,5453,1403,6856,Phakant,MMR001009
 Rural,20147,6131,26278,Phakant,MMR001009
 Total,25600,7534,33134,Phakant,MMR001009
 Urban,3296,1245,4541,Hopin(ST),MMR001007
 Rural,3488,1403,4891,Hopin(ST),MMR001007
 Total,6784,2648,9432,Hopin(ST),MMR001007
 Urban,580,450,1030,Kamine(ST),MMR001009
 Rural,1292,1176,2468,Kamine(ST),MMR001009
 Total,1872,1626,3498,Kamine(ST),MMR001009
 Urban,8081,1434,9515,Bhamo,MMR001010
 Rural,10512,4134,14646,Bhamo,MMR001010
 Total,18593,5568,24161,Bhamo,MMR001010
 Urban,2691,711,3402,Shwegu,MMR001011
 Rural,8802,3624,12426,Shwegu,MMR001011
 Total,11493,4335,15828,Shwegu,MMR001011
 Urban,1461,629,2090,Momauk,MMR001012
 Rural,4632,1912,6544,Momauk,MMR001012
 Total,6093,2541,8634,Momauk,MMR001012
 Urban,1299,319,1618,Mansi,MMR001013
 Rural,7362,1574,8936,Mansi,MMR001013
 Total,8661,1893,10554,Mansi,MMR001013
 Urban,244,117,361,Myohla(ST),MMR001011
 Rural,303,129,432,Myohla(ST),MMR001011
 Total,547,246,793,Myohla(ST),MMR001011
 Urban,929,296,1225,Lwe`ge`(ST),MMR001012
 Rural,233,45,278,Lwe`ge`(ST),MMR001012
 Total,1162,341,1503,Lwe`ge`(ST),MMR001012
 Urban,207,104,311,Dotphoneyan(ST),MMR001012
 Rural,1185,737,1922,Dotphoneyan(ST),MMR001012
 Total,1392,841,2233,Dotphoneyan(ST),MMR001012
 Urban,1537,1274,2811,Putao,MMR001014
 Rural,2598,5334,7932,Putao,MMR001014
 Total,4135,6608,10743,Putao,MMR001014
 Urban,92,80,172,Sumprabum,MMR001015
 Rural,123,184,307,Sumprabum,MMR001015
 Total,215,264,479,Sumprabum,MMR001015
 Urban,178,230,408,Machanbaw,MMR001016
 Rural,327,984,1311,Machanbaw,MMR001016
 Total,505,1214,1719,Machanbaw,MMR001016
 Urban,-,70,70,Khaunglanphoo,MMR001018
