Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,205,26,231,Mineyu(ST),MMR016011
 Rural,8664,1972,10636,Mineyu(ST),MMR016011
 Total,8869,1998,10867,Mineyu(ST),MMR016011
