Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1145,42175,43320,Thingangyun,MMR013009
 Total,1145,42175,43320,Thingangyun,MMR013009
