Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,259,956,1215,Maei(ST),MMR012016
 Rural,767,7971,8738,Maei(ST),MMR012016
 Total,1026,8927,9953,Maei(ST),MMR012016
