Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,412,309,721,Ponparkyin(ST),MMR016008
 Rural,3175,3438,6613,Ponparkyin(ST),MMR016008
 Total,3587,3747,7334,Ponparkyin(ST),MMR016008
