Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,11802,4884,16686,Mogok,MMR010011
 Rural,12532,6029,18561,Mogok,MMR010011
 Total,24334,10913,35247,Mogok,MMR010011
