Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,219,65,284,Minekoke(ST),MMR016006
 Rural,1622,1296,2918,Minekoke(ST),MMR016006
 Total,1841,1361,3202,Minekoke(ST),MMR016006
