Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1339,429,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,1924,851,2775,Pansai(KyuKute)(ST),MMR015009
 Total,3263,1280,4543,Pansai(KyuKute)(ST),MMR015009
