Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6283,2730,9013,Kyaukpadaung,MMR010020
 Rural,18675,34273,52948,Kyaukpadaung,MMR010020
 Total,24958,37003,61961,Kyaukpadaung,MMR010020
