Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1628,5646,7274,Myauk U,MMR012003
 Rural,1842,32409,34251,Myauk U,MMR012003
 Total,3470,38055,41525,Myauk U,MMR012003
