Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1178,2772,3950,Kyaungon,MMR017007
 Rural,7395,30057,37452,Kyaungon,MMR017007
 Total,8573,32829,41402,Kyaungon,MMR017007
