Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,4068,21263,25331,Dala,MMR013030
 Rural,2658,9923,12581,Dala,MMR013030
 Total,6726,31186,37912,Dala,MMR013030
