Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1877,610,2487,Tamoenye(ST),MMR015011
 Rural,6031,4531,10562,Tamoenye(ST),MMR015011
 Total,7908,5141,13049,Tamoenye(ST),MMR015011
