Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1521,576,2097,Kengtaung(ST),MMR014019
 Rural,83,81,164,Kengtaung(ST),MMR014019
 Total,1604,657,2261,Kengtaung(ST),MMR014019
