Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,517,391,908,Dekkhinathiri,MMR018004
 Rural,2314,3775,6089,Dekkhinathiri,MMR018004
 Total,2831,4166,6997,Dekkhinathiri,MMR018004
 Urban,1255007,1794426,3049433,Dekkhinathiri,MMR018004
 Rural,2949645,4878754,7828399,Dekkhinathiri,MMR018004
 Total,4204652,6673180,10877832,Dekkhinathiri,MMR018004
