Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2792,58884,61676,Insein,MMR013001
 Total,2792,58884,61676,Insein,MMR013001
