Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6229,35412,41641,Mingaladon,MMR013002
 Rural,4850,19812,24662,Mingaladon,MMR013002
 Total,11079,55224,66303,Mingaladon,MMR013002
