Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,930,403,1333,Minepyin,MMR016007
 Rural,4908,4364,9272,Minepyin,MMR016007
 Total,5838,4767,10605,Minepyin,MMR016007
