Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2611,2109,4720,Thazi,MMR010030
 Rural,19781,20391,40172,Thazi,MMR010030
 Total,22392,22500,44892,Thazi,MMR010030
