Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2190,7925,10115,Bogale,MMR017024
 Rural,2678,63194,65872,Bogale,MMR017024
 Total,4868,71119,75987,Bogale,MMR017024
